gene	number_of_transcripts
FDPS	5
IL13RA2	1
TUBGCP6	1
SLC16A11	1
SMIM17	1
ZFX	5
ABAT	3
TRIM8	1
DAXX	4
WNT3A	1
MTSS1	1
ST6GALNAC3	2
ACAP1	1
DLK2	2
STIP1	1
EXOC3L2	1
LEAP2	1
SDSL	1
SLC8A3	6
LCMT1	2
RPL18A	1
FAM151B	1
MTOR	1
MSRB3	4
COPB1	3
DMC1	1
ERGIC2	1
FBXO43	1
C4orf36	1
FAM72B	1
CUL4A	2
CPNE2	1
UGT2B11	1
PENK	2
PTH2	1
GTPBP5	1
MAATS1	1
PRPF38B	1
AP1G2	1
SPRYD3	1
CDC42EP2	1
WDR38	4
TRIM42	1
ATP2B4	2
CNOT3	1
MTHFSD	5
CAND2	2
SFMBT1	1
ZNF598	1
VPS37A	2
TNFRSF13C	1
MOGAT1	1
GOLGA4	2
MPHOSPH6	1
CHADL	1
WFIKKN1	1
SFT2D3	1
LOXHD1	4
TMEM200C	1
C19orf26	1
MRPL30	1
EBNA1BP2	2
CES4A	3
CRABP1	1
CLHC1	2
SLC18B1	1
MTMR1	1
HLA-DPA1	3
TMEM79	1
RMI2	1
MRPL10	2
FRRS1L	1
MTO1	3
OSCAR	4
NR2F2	4
CNTROB	2
C20orf96	2
KLHL13	6
BIRC8	1
GZMH	3
PGLYRP3	1
TASP1	1
FAM189B	3
CELF6	3
DHRS1	2
NHLRC1	1
CARD16	2
GSTM4	2
CELA1	1
TYW3	2
DR1	1
MUCL1	1
VIPR1	5
KCNE4	1
ETFB	2
SERPINB12	1
PARP10	1
TECTB	1
TRIML1	1
ZIM3	1
GPAT2	1
M1AP	1
CCDC27	1
CDK15	3
PDE10A	1
FOXC1	1
TTC33	1
CENPI	1
PHF3	1
IGLL1	2
UGT3A2	2
ZNF275	1
PNLDC1	1
SH2D1A	2
SVIP	1
MCAT	2
MROH8	3
PURB	1
SOST	1
ZNF618	1
CBX5	3
RNF145	5
SNCG	1
NR1I3	15
SCARB2	2
TUBA3C	1
IGFBPL1	1
C17orf104	1
SELRC1	1
SLAIN1	6
HDDC3	1
ZMAT2	1
THAP8	1
LONP1	3
IRF2BP2	2
KLHL40	1
RET	2
FAM120AOS	1
SUMF1	3
DMRTC2	1
C11orf40	1
MRGPRX2	1
GPR101	1
DCD	1
TAAR8	1
SH2D1B	1
LMOD3	1
TSGA10IP	1
MAGEB18	1
CCDC140	1
FAM26D	4
KNCN	1
C17orf77	1
CES5A	3
C3orf33	1
C3orf33	1
GGACT	2
ZNF570	1
SLC39A12	2
CAPN2	2
SLC25A6	1
ODF3	1
SERPINB11	1
PTTG1	1
ZNF396	1
SPATA22	6
ATP5SL	6
DPPA2	1
NLRP7	3
GJB4	1
CXorf58	2
HLA-DMB	1
UBXN1	1
SLC16A4	5
TM4SF1	1
COMMD4	1
TMEM143	1
DZIP1L	2
RAB37	4
CCDC74A	4
PAQR4	1
POLR2K	1
PTF1A	1
ARSH	1
U2AF1L4	2
DNAAF3	4
FGA	2
TRDMT1	1
RIBC1	3
GSX1	1
TBC1D8B	2
CLEC4D	1
CLEC4C	2
TPD52L3	3
SSMEM1	1
OR8B8	1
OR5P2	1
OR5P3	1
COX6C	1
CAMK2B	8
ZNF506	2
TAP1	1
CSTL1	1
RLN3	1
ADAMTS14	2
WFDC12	1
ASB11	3
C20orf141	2
C2orf15	1
C7orf33	1
ZPLD1	1
OXGR1	1
EDARADD	2
HIST1H2AH	1
SLC38A10	2
TAS2R40	1
CLCNKB	2
GATA5	1
RFX6	1
PDGFD	2
HSPA13	1
ASZ1	1
OTOP2	1
C15orf40	5
IGFLR1	1
C11orf30	1
FANK1	1
ACER1	1
NLRP6	2
LPCAT4	1
B3GNT6	1
TMC2	1
KCNG3	2
ZNF519	1
FCGR2A	2
GHITM	1
SLC37A2	2
CRYZL1	1
FBXO11	2
PSMB1	1
MRPS15	1
AGFG1	4
COL8A2	1
COL8A2	1
ETAA1	1
TWISTNB	1
TBC1D24	2
THG1L	1
AGPAT4	1
HCN1	1
ATHL1	1
ZNF683	2
C20orf203	1
BSDC1	4
SLC26A7	2
POR	1
C2orf71	1
SYNE3	1
RAB39A	1
TMC4	2
TNIP1	10
FAM98C	1
FAM150B	1
SOWAHD	1
CCDC154	1
OTUD7A	1
CYB561	3
DOC2A	1
SCRT2	1
CD27	1
COMTD1	1
GTF2H3	4
LOC643669	1
GGTLC1	2
SOWAHC	1
SPRR2A	1
LSM12	1
ZBTB43	2
TMEM167A	1
RNPS1	2
DISP2	1
TRNP1	1
TAF1D	1
AGPAT6	1
CITED4	1
PLCB2	1
TNFRSF12A	1
VDAC2	3
SFPQ	1
MRPL52	6
YDJC	1
BZW1	4
FUNDC2	1
MAP1LC3B	1
XKR3	1
XIAP	2
MAP7D1	1
FAM174A	1
RNF181	1
EXOC8	1
FAM46C	1
GTF2H5	1
SLC25A23	1
PM20D2	1
HMGN1	1
PPIA	1
RPS2	1
RNF187	1
RCOR3	4
CBX7	1
TMA7	1
SDHAF1	1
SMIM7	1
PHF6	3
RPLP1	2
C17orf89	1
SNRPD3	1
TRIT1	1
RPS3A	2
MRPL54	1
MRPL54	1
C19orf70	1
NUTF2	1
SNX6	2
PSMC1	1
DUOXA1	6
COX18	1
ATL3	1
DRAP1	1
TMEM141	1
MAN2B1	2
MAGEE2	1
MAGEC3	2
NLRP5	1
XAGE5	1
OLFML2A	1
DAAM2	2
TSPO2	2
LYPD6B	1
EXTL2	5
TTL	1
SAMD12	2
DDC	7
SNAI2	1
BPIFA3	2
ANKRD26	2
ABCF3	1
F10	1
ZNF345	5
SEP15	2
FEM1B	1
GPR116	2
NUP85	1
C1QTNF9	1
ERVMER34-1	2
TCP1	2
SLC27A1	1
ORAI2	1
CDHR4	1
B3GNT4	1
CFH	2
DTHD1	1
GRAMD3	5
CEPT1	2
C10orf120	1
TMEM105	1
FOXR2	1
TSPAN13	1
CALHM3	1
HSD3B1	1
STYX	2
U2AF1	3
ZNF100	1
MED16	1
FAM21C	3
FECH	2
SELO	1
IGFL3	1
CADM3	2
MGP	2
TRPM8	1
PRC1	3
ZPBP2	2
ATM	1
TET2	1
DNAH2	1
DLG2	5
FAM219B	1
GATA2	3
PGK2	1
RPS4Y2	1
GRIK5	1
HAPLN4	1
SLC28A2	1
MKI67IP	1
PRMT5	2
C15orf32	1
PDCD2	6
LHFPL5	1
FBXL14	1
FAM46D	2
RPRML	1
TRIM60	2
MRRF	3
ADIG	1
SNAP91	6
SERPINB8	4
DNAJA2	1
LRPPRC	1
KIF26B	1
ST7	2
ZCCHC16	1
CCT7	4
PYGB	1
PCDHGC3	46
SFXN5	1
DOCK11	1
TTC3	2
SOX6	4
DYRK1A	4
ABCC2	1
HGD	1
KIAA0368	1
PRR15L	1
PPP2R5C	5
CLTCL1	2
MAP2	4
VWA8	2
C11orf49	4
NRXN3	4
FAM109B	1
CEP41	4
CDH8	1
SUPT3H	3
PUS10	1
CNST	2
ZNF615	2
WDFY1	1
FBXO39	1
CTCF	2
SRPR	2
CCDC168	1
THEM6	1
EXT2	3
CBX2	2
ASIC2	2
SMPD3	1
SPDYE4	1
RUNX1T1	15
TPD52	3
C3orf67	1
POLN	1
SIAH3	1
FAM153B	1
PDLIM1	1
TOLLIP	1
GLUD2	1
PCSK5	2
TNIP2	2
RNF121	1
RANBP10	1
PRLR	6
KEL	1
SORL1	1
PAPSS1	1
ST3GAL2	1
RTN1	2
ARHGAP10	1
ADRA1B	1
RNF217	1
EPB42	2
MBIP	2
SPDL1	1
RGS20	2
NAA20	3
AP1B1	3
SP5	1
HAAO	1
EHD3	1
KAZN	5
LPCAT1	1
GMPR2	4
CCDC90B	1
REEP1	4
DPP4	1
COL16A1	1
C12orf75	1
JAZF1	1
NGLY1	4
NCOA6	2
QRFPR	1
CASP2	3
RLN1	1
RAB2A	2
MOB3B	1
PHF11	2
MARC2	1
SELT	1
SP100	6
DYNC1LI2	1
COL4A5	2
SNX25	1
SPTSSB	1
PLEKHA2	1
AAAS	2
SCFD1	3
PATE2	1
EPB41L5	4
SLC22A6	4
IRAK3	2
NLRP2	4
ESF1	2
INTS7	4
AMER3	4
DUSP28	1
SULT2B1	2
QSER1	1
SEC23B	5
DHDDS	4
TGFBI	1
MXRA5	1
PAM	5
ETS1	3
SFXN1	1
FRAS1	2
TMEM163	1
DSCR3	1
TAF4B	1
SYTL2	9
FAM120B	1
RAB36	1
CDC42EP3	4
PARP8	3
THADA	4
CPSF6	1
GAK	1
TPGS1	1
COPS2	2
SLC25A38	1
COX6A1	1
ZNF320	1
MUC4	3
SPATA5L1	1
KIF3B	1
ANGPT1	2
SLC35D3	1
INPP5F	3
DAZAP2	6
TYMS	1
CCDC64	1
SIRT1	2
TBC1D16	4
FAM24A	1
FAM24A	1
EVX1	1
IRX6	1
RAP1B	6
VAV2	2
NHLRC2	1
CYP26C1	1
DBF4B	2
SEC31A	6
CCR7	1
MRAP2	1
PBDC1	1
CISD1	1
CCDC173	1
NUGGC	1
HELZ	1
XRRA1	3
CSPP1	1
WSCD1	1
APLP2	5
BAD	2
TMEM104	1
TNKS	1
DHX32	1
ZNF366	1
FNTA	1
MOB2	2
FBN3	1
HK1	5
ZNF462	1
COMT	4
TMCC3	1
NODAL	1
MYO7A	3
VLDLR	2
ANKDD1B	1
ZNF18	1
ABCB7	5
B4GALT5	1
FYB	3
RPS15A	2
CADM1	2
BCL11A	3
RABL6	3
CAP1	2
TTC7A	1
PCNXL2	1
FOXO1	1
ATG2A	1
UPF2	2
CRYL1	1
SPINT3	1
OSBPL1A	3
XPO1	1
CDKN1A	4
PDXDC1	1
ATAD2	1
TSC1	3
FUCA1	1
ACR	1
TMPRSS6	1
RPN2	2
SHISA3	1
LRRC59	1
TSNARE1	1
TAPBP	3
CSRNP1	1
SYT6	2
CADM4	1
PON1	1
EIF3B	2
TMIGD1	1
TBC1D2	3
LAPTM5	1
NOX4	3
RPAP1	1
FAM179B	1
CRTC1	2
ZNF562	3
THBS2	1
SGCE	3
C1orf27	3
EPHA4	1
SAPCD1	1
C9orf57	1
AKAP12	2
PTN	1
TCF3	2
PIK3R2	1
HLCS	3
CWC27	1
CYP2R1	1
RAB14	1
TVP23A	1
ACTR5	1
LINGO3	1
MKNK1	3
DYNC2LI1	3
ZMAT3	2
PCGF2	1
ADIPOR2	1
ADAMTSL5	1
IKZF3	13
FAM69C	1
RAE1	2
GTF3C1	1
SYK	4
ALDH5A1	2
SCNN1G	1
DCAF4L2	1
KCP	2
OR10A2	1
C8orf74	1
ZNFX1	1
PRDM2	4
ZC3H7A	1
ATP1A1	3
GSX2	1
BLMH	1
SENP1	2
DMRTA1	1
PHF16	2
NFAT5	6
NSMAF	2
FAM120A	1
PMP22	3
YIPF5	3
C2orf66	1
TNRC6B	3
NDEL1	2
DTX1	1
LGALSL	1
RPF2	1
CUL3	3
PITPNM1	2
FAM204A	2
SPTAN1	3
BBS9	4
NAA50	1
SLC45A4	1
KBTBD2	1
FAM65C	1
VASN	1
ARL1	1
DPEP2	1
C9orf173	4
FCGR3A	5
RHOBTB2	3
PHF7	2
KIF19	1
APBB1	10
NDRG1	4
CREB3L4	5
OR2L13	1
NRXN2	3
CRYBB2	1
SLC22A17	2
TGIF1	8
PPM1M	2
NAIF1	1
SPATA24	1
PRDM8	2
HM13	4
HNRNPR	4
PURG	2
ANKRD30A	1
ARHGAP17	2
ARL6	2
REXO1L1	1
KLF12	1
CDYL2	1
BTN2A2	6
KIF9	3
KCNQ3	2
UBL4B	1
ASXL1	2
UBE3B	5
CDC16	2
TMEM156	1
SCAMP5	3
LEPREL1	2
KIF21A	4
TBX22	3
ST3GAL1	2
MED27	3
CKS1B	1
CEP78	2
ARHGAP23	1
ALKBH2	5
EWSR1	5
ZNF706	4
MORF4L1	5
SPATA2L	1
RPL17	9
TPT1	1
IFITM3	1
ABRA	1
B4GALNT2	3
PDZD3	2
ANKRD29	1
LRRC43	2
WFDC11	1
MT1X	1
OTUD3	1
CD34	2
GPHB5	1
PROKR2	1
TAAR1	1
WFDC5	1
TCEB3B	1
SPANXD	2
NLRP11	1
GABRG1	1
ZSWIM2	1
C10orf91	1
BPIFB6	1
LCE1B	1
MMP3	1
SLC25A41	1
SLC22A24	1
RGL3	2
NUDT10	1
SUN5	1
RNF31	1
NOVA2	1
SLC17A7	1
DMBX1	2
RAD18	1
CHCHD5	1
ABHD1	1
C14orf178	2
KSR2	1
C12orf61	1
ITGB2	2
DNAH17	1
CCDC105	1
RBMXL3	1
MAGEB6	1
KIRREL3	2
C1orf177	2
PDILT	1
BTN3A2	5
NOP56	1
CCND2	1
C15orf54	1
RPTN	1
DYNAP	1
C11orf44	1
MAB21L3	1
KLF4	1
LTB	2
CRYGS	1
CCDC89	1
ZC3H12C	1
CXXC11	1
CHDC2	1
H2BFM	1
CCDC79	1
TMEM191C	2
MICALL2	1
PECAM1	1
MFN2	2
USH1G	1
HIST3H2BB	1
TMEM185B	1
MAMDC4	1
GUK1	5
SOX10	1
PIEZO1	1
CAD	1
GRIA3	3
ZHX2	1
MTDH	1
RBM45	1
WHAMM	1
ELMO3	1
BAG1	2
TPTE2	4
ZNF692	3
ADCYAP1R1	4
MBOAT1	1
GCA	1
SERP2	1
RABGGTA	2
RPS5	1
TSEN54	1
HBS1L	3
FAM127C	1
METRNL	1
HOOK1	1
PIGW	1
TTC29	1
ZNF536	1
CDC73	1
TFDP2	6
SCD5	2
SLC25A26	2
MFHAS1	1
UBE2A	3
UBR3	1
UPK2	1
UNC45B	3
TMEM173	1
EML3	1
FAM83A	2
DLL1	1
TMEM161B	1
C1orf61	1
PDZRN4	2
C3orf70	1
HSF5	1
FBXL15	1
EPHB6	1
PLCD3	1
RBMX	2
ZHX3	1
FABP1	1
CHN1	3
TRMT5	1
KRTAP4-2	1
PARS2	1
MRGPRX3	1
SDR9C7	1
DEFB125	1
PLA2G4D	1
BUD31	1
IFI16	2
OGG1	8
DAPK1	1
NUDCD1	2
C4orf21	1
PPP2R2D	1
C1QL4	1
ABHD17B	2
BMI1	2
TRMT10A	3
RBMY1A1	2
UVSSA	1
CMTM6	1
DRD5	1
SLC2A4	1
WIPF3	1
C17orf74	1
MMP28	2
GOT1L1	1
DEFA1	2
PCNXL3	1
RCC2	2
MRPS10	1
AKTIP	2
MYADM	5
C4orf46	1
MEIS3	2
LDHD	2
ZKSCAN3	3
RPL22L1	1
RPL38	2
B3GAT1	2
KIAA0146	1
RPL19	1
PPIF	1
SIGLECL1	1
ROPN1L	2
PRRT4	2
LCP1	1
ZNF697	1
RPL21	1
TMEM179B	1
SERPINB1	1
BCAS4	3
CBX3	2
METTL2A	1
SPATC1L	2
RPL15	6
FAM26F	2
ANKRD65	3
SPC24	1
GLTP	1
HOXC12	1
TYRO3	1
ZNF45	1
C6orf1	3
OR1C1	1
OR2M4	1
OR2K2	1
OR8G2	1
OR10A3	1
ASIC5	1
GPR112	1
DEFB114	1
DEFB124	1
DEFB105B	2
DAOA	3
TBX5	3
LOC158434	1
SPRY3	1
CCDC78	1
POM121L12	1
MRPS2	1
FAM9A	2
TMEM145	1
CCM2L	1
MTRF1	1
ART1	1
CHI3L1	1
CDK8	1
TMEM150B	1
ATXN3L	1
LPPR1	2
PLD1	2
ZNF70	1
PSMC3IP	5
CCDC33	1
GPR97	1
FAM189A1	1
SERPING1	2
C10orf128	1
SLC24A4	3
ITLN2	1
TSPAN18	1
WDR53	1
TDGF1	2
HS6ST2	2
WDHD1	2
IP6K1	3
GTSE1	1
GYS1	2
GALNTL6	1
ZNF195	9
ZNF394	1
TADA3	2
PORCN	4
NMB	2
FMO4	1
GBP2	1
AHI1	4
TBATA	1
C8orf87	1
RGS4	4
MS4A2	2
PDE3A	2
GPX3	1
USP7	1
ARSE	1
DHRS7B	1
THSD4	1
SGCD	3
FAU	1
LCAT	1
GLYR1	1
CBX8	1
MCF2	6
CNTN6	1
CYP39A1	1
BMP3	1
PAPOLG	1
ACLY	2
FOXRED2	2
ZNF169	1
TDRD10	2
HLA-DQA1	1
LYRM4	3
KLRK1	2
PABPC1	1
TTC28	1
COLGALT2	1
AHCY	2
ZNF76	1
RXRB	2
KCNS2	1
DPH3	2
DVL3	1
ZSCAN22	1
TSR1	1
ABHD16A	2
CDADC1	2
HCRTR1	1
CIC	1
HAND2	1
NSMCE2	1
GFRA1	3
RNF175	1
UNC5C	1
NEO1	3
COX14	3
ATP6V1G1	1
KLHL2	3
SMLR1	1
PNPT1	1
XRCC5	1
UBE2U	1
ZNF772	2
ZFP1	1
RFX4	3
ZPBP	2
SLCO6A1	1
RECK	1
PPM1L	1
MCM3AP	1
GLP1R	1
RABL5	4
ATP6V0C	2
MFAP2	4
PINK1	1
ARFRP1	8
C2orf88	4
ARHGAP30	2
MON2	1
IFT140	1
PLA2G12A	1
T	2
UNC45A	2
EIF4A3	1
TMEM88	1
MGST1	7
RAB8B	1
TCEAL8	2
TSLP	2
WDR60	1
CHCHD2	1
COL11A2	4
TEX14	3
FGF12	2
FUT4	1
MAP3K4	2
FYN	3
ZNF585B	1
SLC7A11	1
LOC440335	4
XPNPEP1	2
GSTK1	4
ERBB4	2
CFLAR	8
SYBU	15
PRKX	1
IL17RE	3
FKBP14	1
N4BP2	1
ABCC1	1
INTU	1
FABP4	1
PCDH20	1
C8B	1
ADCY9	1
DRC1	1
DRC1	1
PTK2	3
NSUN6	1
RBAK	3
LSMEM1	2
UNC80	2
TMEM106B	2
UBE2S	1
HGF	5
MPP3	1
PAIP2	2
FAM192A	1
KAT5	4
ZNF787	1
RPS16	1
WDR5	2
CAMTA1	3
HMGCS1	2
DSCAM	2
NHSL2	1
PASK	5
KIN	1
ABHD3	1
CD84	4
TEX30	1
PLK2	2
MYCBPAP	1
BEX2	4
SLC13A5	2
RFESD	3
TMEM151A	1
AKAP8L	1
MZF1	3
CD109	3
ZNF681	1
WDR75	1
HSPB8	1
RPL30	1
GLI4	1
BCAS1	1
KIAA1919	1
CNDP1	1
GRWD1	1
PUSL1	1
IZUMO1	1
BBS12	2
PPP2R4	6
IRF4	2
ZNF501	2
EPGN	5
SENP2	1
RBM10	5
SPPL2A	1
C16orf45	2
TCEAL2	1
RSL1D1	1
STRN3	2
COX5A	1
DNASE1L1	4
TMTC1	2
LRRIQ1	1
TAF15	2
PTPN7	3
TDP2	1
EFHC1	2
STPG1	4
CDKL4	1
ECI1	2
TCEAL5	1
MICU3	1
SLC25A28	1
BEND2	2
C3orf62	1
LY9	4
FARP1	2
FBXO32	3
LHX8	2
HIVEP3	2
EIF3J	1
HAUS8	2
SUFU	2
ABCB5	4
TSTA3	1
KATNAL2	1
SYT16	1
TBX20	2
MAP3K14	1
TRMT11	1
TMOD1	2
GARS	1
RNF111	4
CRISP3	2
HPS1	2
FAM122B	5
NFE2L3	1
ADAM17	1
MOCOS	1
CBX4	1
SRSF3	1
NOD1	1
PPAP2B	1
AGTR2	1
OGT	2
NEIL3	1
TPSAB1	1
EIF3E	1
PHOSPHO1	2
MBD1	14
CTHRC1	2
PRTFDC1	1
PIWIL1	2
CRABP2	2
CD8B	5
CCDC53	1
ISYNA1	3
MRPS21	2
C12orf57	1
PSRC1	3
OXLD1	1
CDC6	1
CREB3L1	1
NOC2L	1
KRT18	2
NWD1	1
DNALI1	1
NDUFA11	2
UBE2M	1
ZFAND5	3
BPNT1	1
HSF2BP	1
AP3S1	1
CWC25	1
IL9R	2
CHP1	1
AOX1	1
TMCO2	1
SF3A1	2
NTRK1	3
RPL23	1
ZNF850	2
FAM105B	1
CRTC2	1
LOC100630923	1
SF3B2	1
CCDC117	1
FAM86A	2
LUM	1
ATP5B	1
NQO1	3
LAMTOR4	1
TMEM138	1
HMG20B	1
DDX46	1
C16orf87	1
CLK4	1
MRFAP1	3
PTRHD1	1
ACSL1	1
RPS15	1
TSHB	1
HIST1H2AJ	1
PRDM7	2
PRND	1
UTP15	1
LILRA4	1
CTAGE1	1
KRTAP2-3	1
GLIPR1L2	2
WFDC13	1
HIST1H2AA	1
SUN3	2
IFNL3	1
IFNL1	1
GH2	4
C4orf27	1
HIBADH	1
FBXO3	2
RAB11FIP4	1
RAB18	5
SLC35A4	1
HSD17B4	3
ANKS6	1
C2orf50	1
KLHDC7A	1
QRSL1	1
C14orf183	1
TPPP2	1
PNPLA1	3
DLX1	2
C2orf70	1
PLD4	1
TMPRSS11B	1
MUC15	3
ZNF619	3
FKBP5	4
GRASP	2
MFSD2B	1
INHA	1
PRKG1	2
PKP4	2
GNRHR	2
MED14	1
DSG4	2
C1orf110	1
FIGLA	1
CYP27C1	1
AWAT1	1
KRTAP13-1	1
KRTAP11-1	1
KRTAP8-1	1
KRTAP7-1	1
ZNF350	1
KLHL24	1
DYDC1	2
CASC1	5
SPINK1	1
NDUFC2	5
LRRK1	1
RICTOR	1
ICT1	1
GALK1	1
SFMBT2	2
UEVLD	7
MIF	1
RPL36	2
RPL12	1
FABP5	1
HIST2H2AC	1
RPS6	1
KIAA1109	1
PRH2	2
COL2A1	2
RANGRF	3
TXNDC17	1
NUPL2	1
STAB2	1
NDUFS6	1
WRAP53	4
CARKD	4
SYNGR4	1
OTOA	3
LRP11	1
COMMD7	2
COPZ2	1
WWP2	5
DDX6	2
MSLN	3
NRG2	5
RB1	1
PKDCC	1
FAM149B1	1
ST8SIA1	1
DPY19L1	1
KDELC1	1
CEP112	3
USB1	3
SBNO2	2
CNTNAP1	1
MKS1	2
SEMA4A	4
C2	3
GOLPH3	1
ALG14	1
KCNJ10	1
COL15A1	1
FEN1	1
OPN3	1
EIF2B2	1
ATP5O	1
DZIP3	1
SSR4	3
MED12	1
AGPAT1	2
EBAG9	2
PARP2	2
LAG3	1
ZBTB47	1
MZB1	1
STK38	1
C9orf142	1
SULF1	4
COL14A1	1
CLEC1B	2
PHPT1	2
ZBTB24	2
TAZ	4
GBP4	1
HLA-DQB1	3
PNN	1
NEK3	3
BCL2L2	2
CTGF	1
ABCC12	1
LOC284998	2
ORC3	3
GPATCH2L	2
HRASLS5	3
RAD52	1
FKBP7	2
LACTB	2
SMARCAD1	4
UNC119	2
PLA2R1	3
DCAF7	1
HAPLN2	1
INO80B	1
RANBP17	1
RPL13	4
FAM207A	1
TANC2	1
TCHP	2
DGCR6L	1
NTRK3	4
MYL5	1
TAGLN	2
SRMS	1
FGD3	2
MRPS12	3
FBRSL1	1
PRSS54	1
KCNJ15	8
WBP4	1
GALNT15	1
ITGA2B	1
GRIN2A	3
AUP1	1
RUNDC3B	3
COX20	1
KRT7	1
KLK12	3
C11orf88	2
EIF4EBP1	1
HK3	1
MAPK6	1
IPO4	1
GRB14	1
TMEM38B	1
CCDC28A	1
MICU2	1
ANXA6	2
ACTR8	1
IFT57	1
IQCF2	1
THOC6	2
CORT	6
CERS1	3
RPL9	2
FGD5	1
SLC25A48	1
AIP	1
R3HDM1	1
KLHDC3	1
MROH7	1
OLR1	3
ZNF567	1
STAG1	1
RAD51C	2
DSG2	1
HPRT1	1
NPHS2	1
SPATA32	1
FAM71D	1
LRRC8C	1
CDC123	1
POP4	1
ELOVL6	2
PADI1	1
CEP350	1
ARMC7	1
NFX1	3
SLC6A20	2
GLRA3	2
PLCG2	1
TIA1	2
FZR1	3
ADCK1	2
RGS16	1
PPP1R35	1
AP4E1	2
C7orf71	1
JMJD1C	2
C21orf33	2
TRIM39	3
PKD1L2	2
ZNF830	1
PPFIA3	1
PSME4	1
RAC1	2
HTR3A	3
MAPKAPK5	2
LCN15	1
ABCG8	1
C9orf116	2
CNPY3	1
MYH7B	1
IZUMO2	1
OAS2	3
CYB5R2	1
GIGYF1	1
NDC80	1
BET1L	2
TMEM63B	1
DBP	1
RPS6KL1	1
KCNS3	1
CLIC1	1
SHISA5	7
SCNN1B	1
CCL13	1
TEKT3	1
BCL9L	1
SERPINE1	2
ATG14	1
USF1	3
WDPCP	1
HSD17B8	1
CORO1A	2
ST3GAL5	2
IFT27	2
BCL9	1
ITPA	3
GLYCTK	2
RDH12	1
TCF25	1
FAM104B	7
SLITRK1	1
C4orf45	1
LY6D	1
ZIC4	4
NGFR	1
CRYBA2	2
CDC42EP5	1
RBM18	1
FTCD	2
FCRL5	2
NRSN2	1
TNPO2	3
S100A8	1
ARFIP1	3
REEP2	2
CDK12	2
KCNA1	1
MRPS33	2
GPR137C	1
DUSP12	1
SALL2	1
E2F7	1
SUDS3	1
ABCA4	1
PAIP2B	1
LARP6	2
PPM1B	5
CTSW	1
CEACAM19	2
POP7	1
MRPL18	1
S100A11	1
ICK	2
ELP5	4
CCNA1	4
CYP51A1	2
SPTB	2
PTPN1	1
STAC3	1
CRHR1	5
DMKN	9
MAGEA3	1
TCN2	2
MYO18B	1
DUSP4	2
COL9A2	1
BEND3	1
ATCAY	1
B3GALNT1	5
PTGFRN	1
ALB	1
VPS28	2
ZNF440	1
PAPD4	3
MRPL24	2
ZSCAN29	1
NMU	1
ZC3H8	1
MRPL11	3
GRHL1	1
C6orf57	1
GC	3
INSL4	1
GTF3C6	1
BUB3	2
MFSD6	1
ATP5D	2
COLGALT1	1
ZBTB40	2
WFDC3	1
KIAA1671	1
SLC2A3	1
REC8	2
RPL23A	1
PARK7	2
R3HCC1L	5
EGF	3
ZBTB49	1
CACUL1	1
GAD1	2
TMEM68	1
RSF1	1
RIMKLA	1
ITIH1	4
DDX25	1
COL6A2	3
H2AFY	4
ERVV-2	1
BCHE	1
SHROOM4	1
PISD	1
PIH1D2	2
MRPL39	2
GPATCH2	1
ABHD14B	3
HIF3A	4
FBXO30	1
HOXD11	1
MORC3	1
TPST1	1
ABCA2	2
IK	1
WNT8B	1
AK8	1
LECT1	2
CLEC4M	9
CCT4	2
MAGOH	1
EEF1B2	3
COX7A1	1
WIPF2	1
HTR2B	1
CTSG	1
TIGIT	1
MRPL43	4
GLTSCR2	1
SPC25	1
SAMD15	1
ZNF511	1
IGSF5	1
S100B	1
RGS19	2
SERTM1	1
BTBD16	1
HABP2	2
TWIST2	2
VRK1	1
OCEL1	1
RBP7	1
GTF2H2C	2
ANXA4	1
PSMB5	3
HCFC1R1	3
SLC35A1	2
MEN1	7
PNLIPRP2	1
CSAG1	2
SIRT6	2
NELFE	1
FIS1	1
IZUMO4	2
SERF2	5
IRX1	1
PDLIM4	2
MSX1	1
BRF1	7
ARL10	1
DCDC2B	1
FAM159A	1
DAW1	1
TTC13	2
AMDHD1	1
LSM5	3
AIFM1	5
SPTLC3	1
BOD1	2
KIAA0825	2
RPL29	1
MTMR11	2
EIF1AD	7
LSM1	1
LYAR	2
OMA1	1
UBE2L6	2
DUSP23	1
ANAPC16	4
AMOTL2	1
GPIHBP1	1
SNCAIP	2
HPX	1
C22orf42	1
NR0B2	1
TTR	1
VKORC1L1	1
ZNRF1	1
LRRN4CL	1
C10orf12	1
PBX3	2
CDC40	1
C9orf84	2
CA11	1
GRM4	7
FAM43B	1
EIF2S2	1
NIPSNAP3B	1
GAB2	2
SI	1
REEP5	1
CEBPG	2
PITPNA	1
PCDHB12	1
BTF3L4	3
EHHADH	2
COX7C	1
CCDC142	1
PXMP2	1
GNB1	1
NUP54	1
NFU1	3
IQGAP1	1
CBLB	1
CCNC	2
CLNS1A	1
OSBPL8	2
ZFPM2	1
PKNOX1	1
SPECC1	6
ABL1	2
USP53	1
PPP4R2	1
PDZK1IP1	1
GNG12	1
STX8	1
PLCB1	2
NSF	1
MRPL40	1
GORASP2	2
VTA1	1
RAI14	6
AANAT	2
ICAM2	5
ZNF12	2
COX6B1	1
GAS8	1
MAPK1	2
PRDX2	2
G0S2	1
PLXNA1	1
TNFAIP8L2	1
ERCC6L2	1
CHRDL2	1
MTSS1L	1
LYPD1	2
DIP2C	1
PRIMA1	1
TRAPPC5	3
TCHH	1
TPP2	1
